text,true_label,classifier_label,classifier_conf,small_label,small_conf,large_label,large_conf
The 2014 championship runner-up Sebastian Vettel got third place with Ferrari at the Chinese Grand Prix in Shangai.,high,normal,0.6844002244000845,high,0.9999339479181334,high,0.9999951395539153
"The No. 2 song for a third week, Maroon 5's ""Sugar,"" decreases by 3 percent, while Ed Sheeran's ""Thinking Out Loud,"" at No. 3 is off by 2 percent. Could either “Loud” or “Sugar” rebound to challenge “Funk” further on the Hot 100? Meanwhile, “Sugar” takes over No. 1 on the subscription services-based On-Demand Songs chart, despite a 10 percent drop to 4.1 million streams. ""Sugar"" holds at No. 2 on Digital Songs, down 8 percent; rises 4-2 on Radio Songs, and keeps at No. 4 on Streaming Songs.",high,normal,0.6506089409384435,normal,0.9992903296008994,normal,0.9999389114489835
"Corliss reviewed more than 1,000 movies, appreciated all kinds of movies, and cut the hype across big but overrated movies. Corliss didn't care much for sentimental, uplifting movies that won Oscars.",high,high,0.5244513846174987,high,0.9999885212263995,high,0.999999986559603
"BP oil spillage that happened in the Gulf of Mexico still haunts people in that region. Despite this, another oil project plan seems to be underway, but authorities must agree they don't have what it takes to return things to normalcy in case another tragedy happens. Knowledge of the gulf beyond oil and gas, and fishing is still limited.",high,normal,0.7713385385224117,high,0.9999980052702785,high,0.9999996843873972
"Findings reveal that Bates' didn't get the proper training as required. Bates's attorney, Clark O Brewster, opposed these claims saying there were misunderstandings and misstatements in the report. The Harris family attorney said that Bates got special favours due to Bates' donations to the agency and Bates' friendship with the sheriff. Even the Tulsa World newspaper reported that the Tulsa County Sheriff's Office was forced to forge Bates' records or else risk reassignment. Through a 2009 memo, launched by then-Undersheriff Brian Edwards, it was established that Bates had not obtained the required training to undertake certain duties. Anyone who complained about Bates' was told to leave Bates alone as Bates had greatly helped the county.",high,normal,0.6059909365707815,normal,0.9999417086787512,high,0.6859494550081926
"Amid ongoing protests, police officials admitted police erred during and after Gray's arrest.",high,high,0.5569609231954933,high,0.9840936082881853,high,0.9999469249217734
"Given the tendency of the media to exploit any potentially scandalous material, the show's producer, Harvard professor Henry Louis Gates Jr., apparently acquiesced to Affleck's request, because when the episode aired in October 2014, there was no mention of the star's slave-owning ancestor.",high,normal,0.7172676467854265,high,0.9999980052698029,normal,0.9999999997121984
The media has circulated a letter by a team of ten doctors to the University of Columbia demanding they dissociate from Dr. Oz because of his selfish quack treatments.,high,normal,0.7353226141454781,high,0.9996200151230041,high,0.9999999869731205
"Andrew Lesnie, cinematographer, has died; suffered a heart attack Monday; known for balancing technology, artistic considerations; Lesnie won, Oscar for, ""The Fellowship of the Ring""; impressive body of work; inducted, Australian Cinematographers Society Hall of Fame;",high,normal,0.6378018399572337,high,0.9999980052712296,high,0.8289388083214156
Hernandez pleaded not guilty but has lost the $40 million contract with the New England Patriots and millions of dollars in expected income.,high,normal,0.5222981932711085,high,0.999997739675702,high,0.588889130767832
